Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,HasLotFrontage,HasCentralAir,HasAlley,HasLandContour,ElectricalOk,HasMasVnr,HasGarageYr,HasBasement,ExterCond.n,ExterQual.n,HeatingQC.n,KitchenQual.n,BsmtCond.n,FireplaceQu.n,GarageQual.n,GarageCond.n,Functional.n,BsmtFinType1.n,BsmtFinType2.n,PavedDrive.n,Utilities.n,LotShape.n,BsmtExposure.n,PoolQC.n,GarageFinish.n,BsmtHeight,Condition_Feedr,Condition_PosN,Condition_Artery,Condition_RRAe,Condition_RRNn,Condition_RRAn,Condition_PosA,Condition_RRNe,Exterior_VinylSd,Exterior_MetalSd,Exterior_Wd.Sdng,Exterior_HdBoard,Exterior_BrkFace,Exterior_WdShing,Exterior_CemntBd,Exterior_Plywood,Exterior_AsbShng,Exterior_Stucco,Exterior_BrkComm,Exterior_AsphShn,Exterior_Stone,Exterior_ImStucc,Exterior_CBlock,Exterior_Wd.Shng,Exterior_CmentBd,Exterior_Brk.Cmn,Exterior_Other,SalePriceLog,MiscValLog,YrMoSold,newer_dwelling,SaleCondition_PriceDown,HouseDirectModifiedAfterBuilt,HouseDirectSoldAfterBuilt,HouseIsModified,GarageDirectBuilt,TotalSquareFootage,TotalBaths,TotalBsmtSpace,YrMoSoldCount
1,60,RL,0.216074820665833,-0.21787869246598,Pave,NONE,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,CompShg,BrkFace,0.529034166692444,PConc,0.581145415157305,-0.293025279752882,-0.934164811599515,-0.443077909321151,GasA,SBrkr,-0.773861025096517,1.20737854974615,-0.101197016502059,0.413547216301913,1,0,2,1,0.169927088600022,-0.207698474525451,0.98684936683629,-0.924311211315714,Attchd,2003,2,0.349363616086492,-0.740760408320604,0.200006008983298,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,2,2008,WD,Normal,1,1,0,0,1,1,1,1,2,3,4,3,3,0,3,3,7,6,1,2,3,3,1,0,2,0.315515596963604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.247694320221,2.30258509299405,200802,0,0,1,0,1,1,-0.0295306930192379,3.5,-0.0116493665951005,28
2,20,RL,0.664158368210282,-0.0720440827455964,Pave,NONE,Lvl,FR2,Gtl,Veenker,1Fam,1Story,6,8,1976,1976,Gable,CompShg,None,-0.567015949674981,CBlock,1.17825474801478,-0.293025279752882,-0.629283699895883,0.477463221431336,GasA,SBrkr,0.261074776085256,-0.785025043886639,-0.101197016502059,-0.471890651387842,0,1,2,0,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,1976,2,-0.0589913956141022,1.61487930046892,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,5,2007,WD,Normal,1,1,0,0,1,1,1,1,2,2,4,2,3,3,3,3,7,5,1,2,3,3,4,0,2,0.315515596963604,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.109010932687,2.30258509299405,200705,1,0,1,0,1,1,0.00557257004349454,2.5,0.0125534222878617,89
3,60,RL,0.305691530174723,0.137196879027128,Pave,NONE,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,CompShg,BrkFace,0.338903024057279,PConc,0.098189337110821,-0.293025279752882,-0.287998873361967,-0.297967977379872,GasA,SBrkr,-0.610718435747667,1.23537485316957,-0.101197016502059,0.563755425999282,1,0,2,1,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,2001,2,0.627787487700533,-0.740760408320604,-0.0812091834168209,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,9,2008,WD,Normal,1,1,0,0,1,1,1,1,2,3,4,3,3,3,3,3,7,6,1,2,3,2,2,0,2,0.315515596963604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3171666930358,2.30258509299405,200809,0,0,1,0,1,1,0.26578744861941,3.5,-0.00783414864310646,35
4,70,RL,0.0667136381510165,-0.0783847179508305,Pave,NONE,Lvl,Corner,Gtl,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,CompShg,None,-0.567015949674981,BrkTil,-0.494529485946228,-0.293025279752882,-0.0468242626113324,-0.669812177979399,GasA,SBrkr,-0.506205214446059,0.978742071788293,-0.101197016502059,0.427382182984565,1,0,1,0,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Detchd,1998,3,0.78556101494849,-0.740760408320604,-0.184814780616865,3.87496688722272,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,2,2006,WD,Abnorml,1,1,0,0,1,1,1,1,2,2,3,3,4,4,3,3,7,5,1,2,3,2,1,0,1,-0.351385219500379,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.8493977015914,2.30258509299405,200602,0,1,0,0,1,0,-0.242429994994834,2,0.0196127237249459,24
5,60,RL,0.783647314222135,0.51890311838222,Pave,NONE,Lvl,FR2,Gtl,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,CompShg,BrkFace,1.39021640098114,PConc,0.469187415246529,-0.293025279752882,-0.160585871455971,0.212184127101186,GasA,SBrkr,-0.0371702700681126,1.67165058151773,-0.101197016502059,1.37804203646397,1,0,2,1,1.38565545042224,-0.207698474525451,1.62415319466707,0.623631660646747,Attchd,2000,3,1.68579819983389,0.776967189288753,0.540424399783442,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,12,2008,WD,Normal,1,1,0,0,1,1,1,1,2,3,4,3,3,3,3,3,7,6,1,2,3,2,3,0,2,0.315515596963604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4292161968444,2.30258509299405,200812,0,0,1,0,1,1,1.59022616356515,3.5,0.00557872696937256,27
6,50,RL,0.813519550725098,0.500515276287041,Pave,NONE,Lvl,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,None,-0.567015949674981,Wood,0.638222042562799,-0.293025279752882,-1.12983477881229,-0.5791184705161,GasA,SBrkr,-0.926807202611065,0.535467267584275,-0.101197016502059,-0.274248270207093,1,0,1,1,-2.26152963504441,-0.207698474525451,-0.925062116656053,-0.924311211315714,Attchd,1993,2,0.0338165615905783,-0.424567158818655,-0.258818778616896,-0.359600750132276,12.6032232155473,-0.285935458023539,-0.0631501734693743,MnPrv,Shed,10,2009,WD,Normal,1,1,0,0,1,1,1,1,2,2,4,2,3,0,3,3,7,6,1,2,3,2,1,0,1,0.315515596963604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.870599909242,6.56526497003536,200910,0,0,0,0,1,1,-0.853366740723193,2.5,-0.0152261334250949,53
7,20,RL,0.514797185695465,-0.0106667339589305,Pave,NONE,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,5,2004,2005,Gable,CompShg,Stone,0.473113242387984,PConc,2.03659941399739,-0.293025279752882,-0.554201038058421,1.43881652054231,GasA,SBrkr,1.36228725419,-0.785025043886639,-0.101197016502059,0.381924435312993,1,0,2,0,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,2004,2,0.757718627787086,1.27497155725432,0.140802810583273,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,8,2007,WD,Normal,1,1,0,0,1,1,1,1,2,3,4,3,3,4,3,3,7,6,1,2,3,3,3,0,2,1.98276763812356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6346030265693,2.30258509299405,200708,1,0,1,0,1,1,1.8207409558553,3,0.237727060047956,75
8,60,RL,-1.72562055202678,0.0271234518642645,Pave,NONE,Lvl,Corner,Gtl,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,CompShg,Stone,0.77508623363207,CBlock,0.917019414889633,-0.103844217062154,-0.783999487924591,0.126025105011052,GasA,SBrkr,-0.134036182493993,1.50833881154783,-0.101197016502059,1.16458826478876,1,0,2,1,0.169927088600022,-0.207698474525451,0.349545539005509,2.17157453260921,Attchd,1973,2,0.0523781530315144,1.11687493250335,2.31652035178419,3.18996329882706,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,Shed,11,2009,WD,Normal,0,1,0,0,1,1,1,1,2,2,4,2,3,3,3,3,7,5,4,2,3,2,2,0,2,0.315515596963604,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2060726455302,5.88610403145016,200911,0,0,1,0,1,1,1.29061336979981,3.5,0.00331344131037611,37
9,50,RM,-0.202136490375653,-0.513352293029888,Pave,NONE,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,None,-0.567015949674981,BrkTil,-0.968704544391867,-0.293025279752882,0.890571394268491,-0.225413011409233,GasA,FuseF,-0.350709933972935,0.969409970647155,-0.101197016502059,0.540038340257592,0,0,2,0,-1.04580127322219,4.45593111885755,0.98684936683629,2.17157453260921,Detchd,1931,2,-0.02186821273223,-0.029325596941218,-0.702842766617084,2.8318932412566,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,4,2008,WD,Abnorml,1,1,0,0,0,1,1,1,2,2,3,2,3,3,2,3,6,1,1,2,3,3,1,0,1,-0.351385219500379,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.7745202026587,2.30258509299405,200804,0,1,0,0,1,1,0.314625328848359,2,0.00660030268502125,61
10,190,RL,-0.232008726878616,-0.348495777693802,Pave,NONE,Lvl,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,None,-0.567015949674981,BrkTil,0.899457375687942,-0.293025279752882,-0.956917133368442,-0.136986646632516,GasA,SBrkr,-0.210509271251267,-0.785025043886639,-0.101197016502059,-0.837529056572227,1,0,1,0,-1.04580127322219,4.45593111885755,-0.925062116656053,2.17157453260921,Attchd,1939,1,-1.24229284997378,-0.740760408320604,-0.643639568217059,-0.359600750132276,-0.103330530851366,-0.285935458023539,-0.0631501734693743,NONE,NONE,1,2008,WD,Normal,1,1,0,0,1,1,1,1,2,2,4,2,3,3,4,3,7,6,1,2,3,3,1,0,2,-0.351385219500379,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6784399034478,2.30258509299405,200801,0,0,0,0,1,1,-0.974515703204743,2,0.0040110964576893,29
