"","impVar"
"1","MSSubClass"
"2","MSZoning"
"3","LotArea"
"4","LandContour"
"5","Neighborhood"
"6","BldgType"
"7","HouseStyle"
"8","YearBuilt"
"9","YearRemodAdd"
"10","MasVnrArea"
"11","Foundation"
"12","BsmtFinSF1"
"13","BsmtUnfSF"
"14","TotalBsmtSF"
"15","X1stFlrSF"
"16","X2ndFlrSF"
"17","GrLivArea"
"18","BsmtFullBath"
"19","FullBath"
"20","HalfBath"
"21","BedroomAbvGr"
"22","KitchenAbvGr"
"23","TotRmsAbvGrd"
"24","Fireplaces"
"25","GarageType"
"26","GarageYrBlt"
"27","GarageCars"
"28","GarageArea"
"29","WoodDeckSF"
"30","OpenPorchSF"
"31","SaleCondition"
"32","HasCentralAir"
"33","HasGarageYr"
"34","ExterQual.n"
"35","HeatingQC.n"
"36","KitchenQual.n"
"37","BsmtCond.n"
"38","FireplaceQu.n"
"39","GarageQual.n"
"40","GarageCond.n"
"41","Functional.n"
"42","BsmtFinType1.n"
"43","PavedDrive.n"
"44","LotShape.n"
"45","BsmtExposure.n"
"46","GarageFinish.n"
"47","BsmtHeight"
"48","Exterior_VinylSd"
"49","newer_dwelling"
"50","HouseDirectModifiedAfterBuilt"
"51","HouseDirectSoldAfterBuilt"
"52","GarageDirectBuilt"
"53","TotalSquareFootage"
"54","TotalBaths"
"55","TotalBsmtSpace"
"56","OverallCond.n"
"57","OverallQual.n"
"58","Id"
"59","SalePriceLog"
